,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
TCGA-NJ-A4YP-01A-11D-A25L-08,0.00021261482543218635,0.04212411906098587,0.8461234859588894,0.11068941732147343,0.00021261839343566513,0.00021255907417756876,0.0002125907730983234,0.00021259459250767
TCGA-44-2656-01A-02D-A271-08,0.00015015038845208229,0.0031094147145470283,0.00015014004965234218,0.9593594399412414,0.00015015009060834306,0.00015015487566910358,0.00015014547612005597,0.03678040446370972
TCGA-49-AAR9-01A-21D-A410-08,0.12845120399953316,0.3483559502099676,0.00018250267663171688,0.3502430101819303,0.00018254899450079328,0.00018253848288992427,0.0001825473638630485,0.1722196980906835
TCGA-86-8074-01A-11D-2238-08,0.0017389909432853731,0.0017391223587839937,0.0017400650288900243,0.0017389995660525863,0.31442327656746927,0.6751413694998257,0.001739069366516999,0.0017391066691762648
TCGA-05-4422-01A-01D-1265-08,0.0027226063187750556,0.00272251992226739,0.46501485564317135,0.0027219195376353717,0.5186494713600205,0.002723594681574278,0.0027221252170469144,0.002722907319509134
TCGA-44-7669-01A-21D-2063-08,0.28905803965971144,0.0002608881685754971,0.0002608402914663996,0.29603733468883675,0.15811407365503222,0.09062403394347546,0.0002608966680760844,0.16538389292482614
TCGA-78-7535-01A-11D-2063-08,0.0006769203081610139,0.33585450737825806,0.0006766982921629434,0.11464605210295628,0.3125688831729516,0.23422320617583053,0.0006768680444784801,0.0006768645252009913
TCGA-75-7031-01A-11D-1945-08,0.0022105480027213,0.33282342307972157,0.0005852608196136797,0.0005851744561278284,0.0010423488132835365,0.2872149238464269,0.3749531421562499,0.0005851788258553141
TCGA-73-4666-01A-01D-1265-08,0.05119924125905728,0.10337270826487237,0.0003170333998366174,0.39510527375124044,0.26354728479137945,0.09340975238303413,0.09273166999834705,0.00031703615223273914
TCGA-91-8499-01A-11D-2393-08,0.08940278762511455,0.16815222371092073,0.2151148657661356,0.00037719557340968197,0.0918263419360535,0.1264538803819541,0.3082955015187321,0.0003772034876797091
TCGA-49-6761-01A-31D-1945-08,0.0006661204706066235,0.0006660823286632803,0.4146930332923463,0.08306835547169353,0.35622015167335774,0.14335408919141931,0.0006660691690156749,0.0006660984028974571
